broad_category,research_area,analysis_group
Technology ,Imaging Science & Photographic Technology,none
Technology ,Information Science & Library Science,none
Technology ,Instruments & Instrumentation,none
Technology ,Materials Science,none
Technology ,Mechanics,none
Technology ,Metallurgy & Metallurgical Engineering,none
Technology ,Microscopy,none
Technology ,Nuclear Science & Technology,none
Technology ,Operations Research & Management Science,none
Technology ,Remote Sensing,none
Technology ,Robotics,none
Technology ,Science & Technology - Other Topics,none
Technology ,Spectroscopy,none
Technology ,Telecommunications,none
Technology ,Transportation,none
